Transaction_ID,Vendor_ID,Amount,Quantity,Payment_Method,Days_Between_Transactions,Fraud_Label
T744,1085,43272,19,Card,11,1
T745,1080,48558,5,Bank,27,1
T746,1029,9843,11,UPI,14,0
T747,1071,19520,9,UPI,7,0
T748,1094,28274,7,UPI,6,0
T749,1089,26510,14,Card,17,0
T750,1065,18322,14,Card,15,0
T751,1031,31986,8,UPI,22,0
T752,1023,10281,2,Card,4,0
T753,1073,14447,15,Bank,2,0
T754,1042,18032,16,Card,3,1
T755,1050,48892,10,Bank,28,1
T756,1094,18724,7,Card,25,0
T757,1013,22910,14,UPI,26,0
T758,1036,29991,15,Bank,25,0
T759,1020,35683,2,Bank,9,0
T760,1032,20340,15,Bank,9,0
T761,1035,1128,6,Bank,21,0
T762,1011,45747,11,Bank,2,1
T763,1051,48282,18,UPI,9,1
T764,1005,27386,10,UPI,6,0
T765,1006,22165,14,UPI,17,0
T766,1071,44297,17,Bank,3,1
T767,1008,20353,7,Card,4,0
T768,1028,49823,14,Bank,25,1
T769,1026,34528,19,UPI,29,1
T770,1046,29348,11,Bank,21,0
T771,1016,32422,19,UPI,10,1
T772,1077,26400,19,UPI,10,1
T773,1097,44736,8,Bank,14,1
T774,1082,4219,13,Bank,14,0
T775,1071,44148,5,Bank,19,1
T776,1019,3657,10,Bank,6,0
T777,1004,23942,11,Bank,25,0
T778,1084,2734,1,Bank,13,0
T779,1024,33029,7,Bank,28,0
T780,1019,5439,8,UPI,29,0
T781,1067,43239,14,Bank,22,1
T782,1009,38334,8,Card,13,0
T783,1070,28930,14,Card,28,0
T784,1077,8139,18,Bank,17,1
T785,1019,34767,12,UPI,15,0
T786,1023,26394,8,Card,27,0
T787,1092,1952,16,Card,8,1
T788,1069,46069,8,Bank,12,1
T789,1086,21586,6,UPI,13,0
T790,1048,33178,1,Card,23,0
T791,1087,6622,4,Bank,28,0
T792,1072,46906,6,Bank,14,1
T793,1038,4582,1,Card,8,0
T794,1047,5595,12,Card,11,0
T795,1081,26880,14,Card,10,0
T796,1022,12475,5,UPI,28,0
T797,1029,15389,10,Card,14,0
T798,1058,27767,13,UPI,12,0
T799,1005,18538,19,Card,21,1
T800,1036,38265,9,UPI,28,0
T801,1034,38331,12,Bank,12,0
T802,1048,43282,13,UPI,17,1
T803,1052,13223,9,UPI,24,0
T804,1078,35780,3,Card,25,0
T805,1053,24846,11,Bank,20,0
T806,1031,2732,5,UPI,29,0
T807,1052,22623,7,UPI,27,0
T808,1018,33961,2,UPI,17,0
T809,1022,39358,17,Card,17,1
T810,1072,28635,2,Card,5,0
T811,1044,15642,11,Card,11,0
T812,1082,26070,18,Bank,23,1
T813,1066,20527,3,UPI,5,0
T814,1094,3881,14,UPI,22,0
T815,1080,19073,5,UPI,12,0
T816,1073,1941,15,Card,6,0
T817,1053,31116,6,UPI,5,0
T818,1047,42096,19,Card,15,1
T819,1083,28476,8,UPI,25,0
T820,1096,2065,14,Card,6,0
T821,1066,21063,2,Card,26,0
T822,1013,10800,19,UPI,29,1
T823,1015,1036,8,UPI,23,0
T824,1073,18193,5,UPI,22,0
T825,1005,15589,5,Bank,23,0
T826,1063,19749,5,UPI,24,0
T827,1041,6897,3,Bank,18,0
T828,1016,33645,19,Bank,16,1
T829,1095,12971,3,UPI,9,0
T830,1012,17123,4,Bank,28,0
T831,1094,45062,10,UPI,28,1
T832,1041,33637,11,Card,29,0
T833,1068,14420,11,UPI,16,0
T834,1067,48318,3,UPI,29,1
T835,1080,14503,17,Bank,21,1
T836,1049,11935,3,Bank,14,0
T837,1010,44304,12,UPI,5,1
T838,1013,19677,16,UPI,4,1
T839,1076,34998,8,UPI,20,0
T840,1049,36607,1,UPI,4,0
T841,1051,37522,14,UPI,6,0
T842,1090,1908,18,UPI,22,1
T843,1033,32734,12,Bank,14,0
T844,1027,38512,14,Card,13,0
T845,1023,5195,10,UPI,23,0
T846,1055,47815,19,Card,28,1
T847,1017,46845,8,Bank,21,1
T848,1073,41312,17,Card,7,1
T849,1064,42328,8,UPI,1,1
T850,1022,27975,14,UPI,25,0
T851,1008,37365,9,Card,27,0
T852,1018,2545,11,Card,24,0
T853,1044,40395,2,UPI,20,1
T854,1098,4084,4,Bank,1,1
T855,1027,13175,10,Bank,26,0
T856,1058,1103,14,Bank,20,0
T857,1000,25073,13,Bank,14,0
T858,1009,8650,11,Bank,8,0
T859,1095,20926,3,Bank,10,0
T860,1082,18195,6,Card,7,0
T861,1083,39400,2,Bank,6,0
T862,1020,20222,2,Bank,25,0
T863,1015,22914,8,UPI,9,0
T864,1000,16104,14,Card,27,0
T865,1009,21250,15,Bank,22,0
T866,1006,23021,8,Card,15,0
T867,1033,25720,15,UPI,27,0
T868,1064,23024,11,Bank,4,0
T869,1072,21194,3,Card,20,0
T870,1066,38918,12,Bank,12,0
T871,1094,47727,12,UPI,27,1
T872,1097,27531,15,UPI,27,0
T873,1029,37330,17,UPI,10,1
T874,1002,8323,5,UPI,12,0
T875,1005,33060,8,Card,22,0
T876,1024,30281,6,Card,29,0
T877,1057,42786,5,UPI,22,1
T878,1045,44741,11,Card,7,1
T879,1051,38840,3,Bank,5,0
T880,1081,4009,1,UPI,12,0
T881,1026,13974,14,Bank,24,0
T882,1075,29933,10,Bank,3,0
T883,1003,27276,7,UPI,14,0
T884,1017,48363,16,Card,22,1
T885,1066,47610,5,Card,14,1
T886,1012,6665,2,UPI,1,1
T887,1063,24851,2,UPI,15,0
T888,1050,16201,10,Card,15,0
T889,1027,18392,8,Bank,13,0
T890,1090,21403,13,Card,19,0
T891,1093,45757,7,Bank,11,1
T892,1081,13533,10,Bank,6,0
T893,1006,28112,14,Card,5,0
T894,1059,17124,12,Card,16,0
T895,1047,26993,12,UPI,3,0
T896,1067,40334,11,Card,25,1
T897,1097,44377,10,Card,28,1
T898,1039,29072,1,Card,27,0
T899,1091,13855,6,Card,14,0
T900,1011,1729,13,Card,28,0
T901,1007,35575,19,UPI,29,1
T902,1063,11191,3,UPI,19,0
T903,1029,18486,9,Bank,20,0
T904,1024,45327,2,Bank,26,1
T905,1005,40675,5,UPI,5,1
T906,1041,26281,1,Bank,19,0
T907,1008,3723,16,Card,26,1
T908,1046,34558,14,Card,7,0
T909,1030,3683,13,UPI,29,0
T910,1077,49691,19,UPI,20,1
T911,1017,22117,18,Card,6,1
T912,1038,44007,11,UPI,19,1
T913,1049,12828,12,Bank,21,0
T914,1053,49372,3,Card,28,1
T915,1078,23342,8,UPI,10,0
T916,1004,35052,2,Card,29,0
T917,1070,12070,19,Card,8,1
T918,1032,18811,11,Card,23,0
T919,1018,29022,16,Card,18,1
T920,1013,5338,16,UPI,3,1
T921,1074,23344,11,Bank,27,0
T922,1046,35209,6,Card,2,0
T923,1072,25265,10,UPI,15,0
T924,1055,31284,15,Card,20,0
T925,1088,29698,13,UPI,6,0
T926,1060,37330,9,Bank,26,0
T927,1040,49330,19,UPI,2,1
T928,1087,28869,10,Card,7,0
T929,1004,36298,16,UPI,6,1
T930,1029,27319,4,UPI,14,0
T931,1036,32840,13,Card,9,0
T932,1020,36177,16,Card,27,1
T933,1061,42263,7,UPI,22,1
T934,1096,29677,14,Bank,1,1
T935,1045,17085,14,Card,24,0
T936,1083,24755,4,UPI,4,0
T937,1085,14111,11,Card,10,0
T938,1054,5130,6,Bank,2,0
T939,1037,19328,9,Bank,18,0
T940,1034,9536,5,Card,25,0
T941,1020,21174,13,UPI,16,0
T942,1078,29228,7,Bank,17,0
T943,1033,31895,1,UPI,6,0
T944,1058,47167,13,UPI,29,1
T945,1026,10902,8,UPI,28,0
T946,1005,18535,3,UPI,13,0
T947,1095,15133,5,Bank,9,0
T948,1058,47830,6,Card,28,1
T949,1051,30555,19,Bank,2,1
T950,1049,36028,11,UPI,4,0
T951,1052,22378,1,Card,1,1
T952,1021,12156,7,Card,28,0
T953,1079,25662,7,Bank,19,0
T954,1083,26347,6,Card,17,0
T955,1083,49755,17,Card,5,1
T956,1074,5038,4,Bank,8,0
T957,1069,10258,2,Bank,6,0
T958,1085,18725,8,Card,26,0
T959,1078,4896,8,Bank,20,0
T960,1036,16059,7,Card,16,0
T961,1016,4353,19,UPI,17,1
T962,1043,12530,19,UPI,1,1
T963,1036,2584,14,Bank,24,0
T964,1093,20418,13,Card,12,0
T965,1057,42371,6,Card,2,1
T966,1099,34016,4,Card,7,0
T967,1091,16769,7,UPI,16,0
T968,1055,12836,9,UPI,10,0
T969,1030,46908,19,UPI,4,1
T970,1039,44662,3,Bank,16,1
T971,1085,17158,19,Bank,24,1
T972,1067,17790,9,UPI,20,0
T973,1013,28724,10,Bank,20,0
T974,1032,7173,16,Card,26,1
T975,1072,8541,10,Card,23,0
T976,1090,32118,17,Bank,5,1
T977,1076,2611,4,Card,8,0
T978,1042,37717,15,Card,7,0
T979,1087,15438,4,UPI,26,0
T980,1006,40048,9,Card,10,1
T981,1035,13243,16,UPI,26,1
T982,1063,25002,11,UPI,1,1
T983,1066,1636,14,Card,7,0
T984,1005,32950,8,Bank,24,0
T985,1082,46994,19,Card,19,1
T986,1014,7663,19,Bank,26,1
T987,1060,3058,15,UPI,18,0
T988,1071,31153,14,Card,22,0
T989,1064,24605,4,UPI,27,0
T990,1044,40090,13,Bank,29,1
T991,1085,14192,14,Bank,24,0
T992,1036,49598,5,Card,20,1
T993,1096,42574,18,Bank,9,1
T994,1069,6070,4,UPI,9,0
T995,1079,36426,15,Card,21,0
T996,1052,8930,10,Card,22,0
T997,1073,30634,4,Card,16,0
T998,1001,46689,19,Card,5,1
T999,1075,47390,10,UPI,6,1
